"year","lgID","tmID","franchID","confID","divID","rank","confRank","playoff","name","o_fgm","o_fga","o_ftm","o_fta","o_3pm","o_3pa","o_oreb","o_dreb","o_reb","o_asts","o_pf","o_stl","o_to","o_blk","o_pts","d_fgm","d_fga","d_ftm","d_fta","d_3pm","d_3pa","d_oreb","d_dreb","d_reb","d_asts","d_pf","d_stl","d_to","d_blk","d_pts","o_tmRebound","d_tmRebound","homeWon","homeLost","awayWon","awayLost","neutWon","neutLoss","confWon","confLoss","divWon","divLoss","pace","won","lost","games","min","arena","attendance","bbtmID"
"1946","NBA","BOS","BOS",,"ED","5","0",,"Boston Celtics","1397","5133","811","1375","0","0","0","0","0","470","1202","0","0","0","3605","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3898","0","0","14","16","8","22","0","0","0","0","11","19","0","22","38","60","14500","Boston Garden","32767","BOS"
"1946","NBA","CHS","CHS",,"WD","1","0","F","Chicago Stags","1879","6309","939","1550","0","0","0","0","0","436","1473","0","0","0","4697","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4473","0","0","22","9","17","13","0","0","0","0","17","8","0","39","22","61","14840","Chicago Stadium","0","CHS"
"1946","NBA","CLR","CLR",,"WD","3","0","R1","Cleveland Rebels","1674","5699","903","1428","0","0","0","0","0","494","1246","0","0","0","4251","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4308","0","0","17","13","13","17","0","0","0","0","10","14","0","30","30","60","14600","Cleveland Arena","0","CLR"
"1946","NBA","DTF","DTF",,"WD","4","0",,"Detroit Falcons","1437","5843","923","1494","0","0","0","0","0","482","1351","0","0","0","3797","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3917","0","0","12","18","8","22","0","0","0","0","8","16","0","20","40","60","14600","Detroit Olympia","0","DTF"
"1946","NBA","NYK","NYK",,"ED","3","0","SF","New York Knicks","1465","5255","951","1438","0","0","0","0","0","457","1218","0","0","0","3881","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3842","0","0","18","12","15","15","0","0","0","0","13","17","0","33","27","60","14575","Madison Square Garden (III)","32767","NYK"
"1946","NBA","PHW","GSW",,"ED","2","0","NC","Philadelphia Warriors","1510","5384","1098","1596","0","0","0","0","0","343","1082","0","0","0","4118","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3909","0","0","23","7","12","18","0","0","0","0","19","11","0","35","25","60","14575","Philadelphia Arena","32767","PHW"
"1946","NBA","PIT","PIT",,"WD","5","0",,"Pittsburgh Ironmen","1345","4961","984","1507","0","0","0","0","0","272","1360","0","0","0","3674","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4057","0","0","11","19","4","26","0","0","0","0","6","18","0","15","45","60","14600","Duquesne Gardens","0","PTI"
"1946","NBA","PRO","PRO",,"ED","4","0",,"Providence Steamrollers","1629","5582","1092","1666","0","0","0","0","0","481","1215","0","0","0","4350","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4450","0","0","19","11","9","21","0","0","0","0","12","18","0","28","32","60","14600","Rhode Island Auditorium","0","PRO"
"1946","NBA","STB","STB",,"WD","2","0","R1","St. Louis Bombers","1601","5877","862","1400","0","0","0","0","0","292","1234","0","0","0","4064","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3911","0","0","22","8","16","15","0","0","0","0","20","5","0","38","23","61","14840","St. Louis Arena","0","STB"
"1946","NBA","TRH","TRH",,"ED","5","0",,"Toronto Huskies","1515","5672","966","1552","0","0","0","0","0","463","1271","0","0","0","3996","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4262","0","0","15","15","7","23","0","0","0","0","10","20","0","22","38","60","14600","Maple Leaf Gardens","0","TRH"
"1946","NBA","WSC","WSC",,"ED","1","0","SF","Washington Capitols","1723","5794","982","1391","0","0","0","0","0","378","1144","0","0","0","4428","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3836","0","0","29","1","20","10","0","0","0","0","25","5","0","49","11","60","14600","Uline Arena","0","WSC"
"1947","NBA","BLB","BLB",,"WD","2","0","NC","Baltimore Bullets","1288","4283","994","1443","0","0","0","0","0","320","1080","0","0","0","3570","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3385","0","0","17","7","11","13","0","0","0","0","10","14","0","28","20","48","11695","Baltimore Coliseum","0","BLT"
"1947","NBA","BOS","BOS",,"ED","3","0","R1","Boston Celtics","1241","4323","821","1246","0","0","0","0","0","364","1065","0","0","0","3303","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3491","0","0","11","13","9","15","0","0","0","0","11","13","0","20","28","48","11645","Boston Garden","32767","BOS"
"1947","NBA","CHS","CHS",,"WD","2","0","SF","Chicago Stags","1390","4683","860","1305","0","0","0","0","0","432","1138","0","0","0","3640","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3513","0","0","14","10","14","10","0","0","0","0","11","13","0","28","20","48","11695","Chicago Stadium","0","CHS"
"1947","NBA","NYK","NYK",,"ED","2","0","R1","New York Knicks","1355","4724","868","1291","0","0","0","0","0","376","1076","0","0","0","3578","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3427","0","0","12","12","14","10","0","0","0","0","18","6","0","26","22","48","11545","Madison Square Garden (III)","32767","NYK"
"1947","NBA","PHW","GSW",,"ED","1","0","F","Philadelphia Warriors","1279","4875","963","1349","0","0","0","0","0","335","934","0","0","0","3521","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3460","0","0","14","10","13","11","0","0","0","0","16","8","0","27","21","48","11695","Philadelphia Arena","32767","PHW"
"1947","NBA","PRO","PRO",,"ED","4","0",,"Providence Steamrollers","1268","4630","782","1275","0","0","0","0","0","347","1105","0","0","0","3318","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3873","0","0","3","21","3","21","0","0","0","0","3","21","0","6","42","48","11695","Rhode Island Auditorium","0","PRO"
"1947","NBA","STB","STB",,"WD","1","0","SF","St. Louis Bombers","1297","4551","838","1244","0","0","0","0","0","218","1050","0","0","0","3432","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3335","0","0","17","7","12","12","0","0","0","0","14","10","0","29","19","48","11695","St. Louis Arena","0","STB"
