"word" "freq"
"-金泉" 1
"-西" 1
"-新" 1
"0.2%" 1
"02月" 1
"02日" 1
"04月" 1
"05" 1
"064美元" 1
"09届" 1
"09月" 1
"1.07万亿元" 1
"1.25%" 1
"1.5年" 1
"1.77亿元" 1
"10%左右" 1
"1000" 1
"100081" 1
"100名" 1
"100万元" 1
"10554名" 1
"106" 1
"10720名" 1
"10925名" 1
"10961名" 1
"10届" 1
"10日" 1
"11.72万亿元" 1
"11147名" 1
"1115" 1
"11秒" 1
"12.8%" 1
"12.8万" 1
"12345" 1
"12413名" 1
"1267703" 1
"12个" 1
"12级" 1
"12届" 1
"12秒" 1
"13161735183" 1
"13417549633" 1
"13432名" 1
"13922名" 1
"14.8万" 1
"153分" 1
"1500" 1
"1500元" 1
"150多个" 1
"15321253752" 1
"15分" 1
"165430" 1
"17581名" 1
"17所" 1
"18.0" 1
"18.00" 1
"18.11%" 1
"18.15" 1
"180" 1
"18666624786" 1
"1962年" 1
"1983年" 1
"1985" 1
"1993" 1
"1994" 1
"19点" 1
"1号" 1
"1名" 1
"2%" 1
"2.0%" 1
"2.1万余" 1
"2.8%" 1
"200" 1
"2002" 1
"2004" 1
"2009" 1
"2007" 1
"2009级" 1
"2010" 1
"2010.2" 1
"2013.3.4" 1
"2013级" 1
"2014" 1
"2015" 1
"207" 1
"20多年" 1
"20号" 1
"20年" 1
"21" 1
"21号" 1
"22.65%" 1
"221623" 1
"2333" 1
"23日" 1
"24.8%" 1
"25544236" 1
"25名" 1
"26.8%" 1
"266人次" 1
"27" 1
"273888534" 1
"27分" 1
"2854250108" 1
"299" 1
"29所" 1
"3.21" 1
"30%" 1
"30%左右" 1
"304" 1
"30分" 1
"310分" 1
"317" 1
"331657273" 1
"3340亿元" 1
"350" 1
"355" 1
"36.1万" 1
"365" 1
"370多分" 1
"37.5%" 1
"375" 1
"3780分" 1
"381" 1
"386" 1
"388" 1
"39号" 1
"3件" 1
"3台" 1
"3位" 1
"4%" 1
"4000" 1
"40974" 1
"410点" 1
