年,月,日,泾川 ,红河 ,毛家河 
1989,1,1,-1,-1,-1
1989,1,2,-1,-1,-1
1989,1,3,-1,-1,-1
1989,1,4,-1,-1,-1
1989,1,5,-1,-1,-1
1989,1,6,-1,-1,-1
1989,1,7,-1,-1,-1
1989,1,8,-1,-1,-1
1989,1,9,-1,-1,-1
1989,1,10,-1,-1,-1
1989,1,11,-1,-1,-1
1989,1,12,-1,-1,-1
1989,1,13,-1,-1,-1
1989,1,14,-1,-1,-1
1989,1,15,-1,-1,-1
1989,1,16,-1,-1,-1
1989,1,17,-1,-1,-1
1989,1,18,-1,-1,-1
1989,1,19,-1,-1,-1
1989,1,20,-1,-1,-1
1989,1,21,-1,-1,-1
1989,1,22,-1,-1,-1
1989,1,23,-1,-1,-1
1989,1,24,-1,-1,-1
1989,1,25,-1,-1,-1
1989,1,26,-1,-1,-1
1989,1,27,-1,-1,-1
1989,1,28,-1,-1,-1
1989,1,29,-1,-1,-1
1989,1,30,-1,-1,-1
1989,1,31,-1,-1,-1
1989,2,1,-1,-1,-1
1989,2,2,-1,-1,-1
1989,2,3,-1,-1,-1
1989,2,4,-1,-1,-1
1989,2,5,-1,-1,-1
1989,2,6,-1,-1,-1
1989,2,7,-1,-1,-1
1989,2,8,-1,-1,-1
1989,2,9,-1,-1,-1
1989,2,10,-1,-1,-1
1989,2,11,-1,-1,-1
1989,2,12,-1,-1,-1
1989,2,13,-1,-1,-1
1989,2,14,-1,-1,-1
1989,2,15,-1,-1,-1
1989,2,16,-1,-1,-1
1989,2,17,-1,-1,-1
1989,2,18,-1,-1,-1
1989,2,19,-1,-1,-1
1989,2,20,-1,-1,-1
1989,2,21,-1,-1,-1
1989,2,22,-1,-1,-1
1989,2,23,-1,-1,-1
1989,2,24,-1,-1,-1
1989,2,25,-1,-1,-1
1989,2,26,-1,-1,-1
1989,2,27,-1,-1,-1
1989,2,28,-1,-1,-1
1989,3,1,-1,-1,-1
1989,3,2,-1,-1,-1
1989,3,3,-1,-1,-1
1989,3,4,-1,-1,-1
1989,3,5,-1,-1,-1
1989,3,6,-1,-1,-1
1989,3,7,-1,-1,-1
1989,3,8,-1,-1,-1
1989,3,9,-1,-1,-1
1989,3,10,-1,-1,-1
1989,3,11,-1,-1,-1
1989,3,12,-1,-1,-1
1989,3,13,-1,-1,-1
1989,3,14,-1,-1,-1
1989,3,15,-1,-1,-1
1989,3,16,-1,-1,-1
1989,3,17,-1,-1,-1
1989,3,18,-1,-1,-1
1989,3,19,-1,-1,-1
1989,3,20,-1,-1,-1
1989,3,21,-1,-1,-1
1989,3,22,-1,-1,-1
1989,3,23,-1,-1,-1
1989,3,24,-1,-1,-1
1989,3,25,-1,-1,-1
1989,3,26,-1,-1,-1
1989,3,27,-1,-1,-1
1989,3,28,-1,-1,-1
1989,3,29,-1,-1,-1
1989,3,30,-1,-1,-1
1989,3,31,-1,-1,-1
1989,4,1,-1,-1,-1
1989,4,2,-1,-1,-1
1989,4,3,-1,-1,-1
1989,4,4,-1,-1,-1
1989,4,5,-1,-1,-1
1989,4,6,-1,-1,-1
1989,4,7,-1,-1,-1
1989,4,8,-1,-1,-1
1989,4,9,-1,-1,-1
1989,4,10,-1,-1,-1
1989,4,11,-1,-1,-1
1989,4,12,-1,-1,-1
1989,4,13,-1,-1,-1
1989,4,14,-1,-1,-1
1989,4,15,-1,-1,-1
1989,4,16,-1,-1,-1
1989,4,17,-1,-1,-1
1989,4,18,-1,-1,-1
1989,4,19,-1,-1,-1
1989,4,20,-1,-1,-1
1989,4,21,-1,-1,-1
1989,4,22,-1,-1,-1
1989,4,23,-1,-1,-1
1989,4,24,-1,-1,-1
1989,4,25,-1,-1,-1
1989,4,26,-1,-1,-1
1989,4,27,-1,-1,-1
1989,4,28,-1,-1,-1
1989,4,29,-1,-1,-1
1989,4,30,-1,-1,-1
1989,5,1,-1,-1,-1
1989,5,2,-1,-1,-1
1989,5,3,-1,-1,-1
1989,5,4,-1,-1,-1
1989,5,5,-1,-1,-1
1989,5,6,-1,-1,-1
1989,5,7,-1,-1,-1
1989,5,8,-1,-1,-1
1989,5,9,-1,-1,-1
1989,5,10,-1,-1,-1
1989,5,11,-1,-1,-1
1989,5,12,-1,-1,-1
1989,5,13,-1,-1,-1
1989,5,14,-1,-1,-1
1989,5,15,-1,-1,-1
1989,5,16,-1,-1,-1
1989,5,17,-1,-1,-1
1989,5,18,-1,-1,-1
1989,5,19,-1,-1,-1
1989,5,20,-1,-1,-1
1989,5,21,-1,-1,-1
1989,5,22,-1,-1,-1
1989,5,23,-1,-1,-1
1989,5,24,-1,-1,-1
1989,5,25,-1,-1,-1
1989,5,26,-1,-1,-1
1989,5,27,-1,-1,-1
1989,5,28,-1,-1,-1
1989,5,29,-1,-1,-1
1989,5,30,-1,-1,-1
1989,5,31,-1,-1,-1
1989,6,1,-1,-1,-1
1989,6,2,-1,-1,-1
1989,6,3,-1,-1,-1
1989,6,4,-1,-1,-1
1989,6,5,-1,-1,-1
1989,6,6,-1,-1,-1
1989,6,7,-1,-1,-1
1989,6,8,-1,-1,-1
1989,6,9,-1,-1,-1
1989,6,10,-1,-1,-1
1989,6,11,-1,-1,-1
1989,6,12,-1,-1,-1
1989,6,13,-1,-1,-1
1989,6,14,-1,-1,-1
1989,6,15,-1,-1,-1
1989,6,16,-1,-1,-1
1989,6,17,-1,-1,-1
1989,6,18,-1,-1,-1
1989,6,19,-1,-1,-1
1989,6,20,-1,-1,-1
1989,6,21,-1,-1,-1
1989,6,22,-1,-1,-1
1989,6,23,-1,-1,-1
1989,6,24,-1,-1,-1
1989,6,25,-1,-1,-1
1989,6,26,-1,-1,-1
1989,6,27,-1,-1,-1
1989,6,28,-1,-1,-1
1989,6,29,-1,-1,-1
1989,6,30,-1,-1,-1
1989,7,1,-1,-1,-1
1989,7,2,-1,-1,-1
1989,7,3,-1,-1,-1
1989,7,4,-1,-1,-1
1989,7,5,-1,-1,-1
1989,7,6,-1,-1,-1
1989,7,7,-1,-1,-1
1989,7,8,-1,-1,-1
1989,7,9,-1,-1,-1
1989,7,10,-1,-1,-1
1989,7,11,-1,-1,-1
1989,7,12,-1,-1,-1
1989,7,13,-1,-1,-1
1989,7,14,-1,-1,-1
1989,7,15,-1,-1,-1
1989,7,16,-1,-1,-1
1989,7,17,-1,-1,-1
1989,7,18,-1,-1,-1
1989,7,19,-1,-1,-1
1989,7,20,-1,-1,-1
1989,7,21,-1,-1,-1
1989,7,22,-1,-1,-1
1989,7,23,-1,-1,-1
1989,7,24,-1,-1,-1
1989,7,25,-1,-1,-1
1989,7,26,-1,-1,-1
1989,7,27,-1,-1,-1
1989,7,28,-1,-1,-1
1989,7,29,-1,-1,-1
1989,7,30,-1,-1,-1
1989,7,31,-1,-1,-1
1989,8,1,-1,-1,-1
1989,8,2,-1,-1,-1
1989,8,3,-1,-1,-1
1989,8,4,-1,-1,-1
1989,8,5,-1,-1,-1
1989,8,6,-1,-1,-1
1989,8,7,-1,-1,-1
1989,8,8,-1,-1,-1
1989,8,9,-1,-1,-1
1989,8,10,-1,-1,-1
1989,8,11,-1,-1,-1
1989,8,12,-1,-1,-1
1989,8,13,-1,-1,-1
1989,8,14,-1,-1,-1
1989,8,15,-1,-1,-1
1989,8,16,-1,-1,-1
1989,8,17,-1,-1,-1
1989,8,18,-1,-1,-1
1989,8,19,-1,-1,-1
1989,8,20,-1,-1,-1
1989,8,21,-1,-1,-1
1989,8,22,-1,-1,-1
1989,8,23,-1,-1,-1
1989,8,24,-1,-1,-1
1989,8,25,-1,-1,-1
1989,8,26,-1,-1,-1
1989,8,27,-1,-1,-1
1989,8,28,-1,-1,-1
1989,8,29,-1,-1,-1
1989,8,30,-1,-1,-1
1989,8,31,-1,-1,-1
1989,9,1,-1,-1,-1
1989,9,2,-1,-1,-1
1989,9,3,-1,-1,-1
1989,9,4,-1,-1,-1
1989,9,5,-1,-1,-1
1989,9,6,-1,-1,-1
1989,9,7,-1,-1,-1
1989,9,8,-1,-1,-1
1989,9,9,-1,-1,-1
1989,9,10,-1,-1,-1
1989,9,11,-1,-1,-1
1989,9,12,-1,-1,-1
1989,9,13,-1,-1,-1
1989,9,14,-1,-1,-1
1989,9,15,-1,-1,-1
1989,9,16,-1,-1,-1
1989,9,17,-1,-1,-1
1989,9,18,-1,-1,-1
1989,9,19,-1,-1,-1
1989,9,20,-1,-1,-1
1989,9,21,-1,-1,-1
1989,9,22,-1,-1,-1
1989,9,23,-1,-1,-1
1989,9,24,-1,-1,-1
1989,9,25,-1,-1,-1
1989,9,26,-1,-1,-1
1989,9,27,-1,-1,-1
1989,9,28,-1,-1,-1
1989,9,29,-1,-1,-1
1989,9,30,-1,-1,-1
1989,10,1,-1,-1,-1
1989,10,2,-1,-1,-1
1989,10,3,-1,-1,-1
1989,10,4,-1,-1,-1
1989,10,5,-1,-1,-1
1989,10,6,-1,-1,-1
1989,10,7,-1,-1,-1
1989,10,8,-1,-1,-1
1989,10,9,-1,-1,-1
1989,10,10,-1,-1,-1
1989,10,11,-1,-1,-1
1989,10,12,-1,-1,-1
1989,10,13,-1,-1,-1
1989,10,14,-1,-1,-1
1989,10,15,-1,-1,-1
1989,10,16,-1,-1,-1
1989,10,17,-1,-1,-1
1989,10,18,-1,-1,-1
1989,10,19,-1,-1,-1
1989,10,20,-1,-1,-1
1989,10,21,-1,-1,-1
1989,10,22,-1,-1,-1
1989,10,23,-1,-1,-1
1989,10,24,-1,-1,-1
1989,10,25,-1,-1,-1
1989,10,26,-1,-1,-1
1989,10,27,-1,-1,-1
1989,10,28,-1,-1,-1
1989,10,29,-1,-1,-1
1989,10,30,-1,-1,-1
1989,10,31,-1,-1,-1
1989,11,1,-1,-1,-1
1989,11,2,-1,-1,-1
1989,11,3,-1,-1,-1
1989,11,4,-1,-1,-1
1989,11,5,-1,-1,-1
1989,11,6,-1,-1,-1
1989,11,7,-1,-1,-1
1989,11,8,-1,-1,-1
1989,11,9,-1,-1,-1
1989,11,10,-1,-1,-1
1989,11,11,-1,-1,-1
1989,11,12,-1,-1,-1
1989,11,13,-1,-1,-1
1989,11,14,-1,-1,-1
1989,11,15,-1,-1,-1
1989,11,16,-1,-1,-1
1989,11,17,-1,-1,-1
1989,11,18,-1,-1,-1
1989,11,19,-1,-1,-1
1989,11,20,-1,-1,-1
1989,11,21,-1,-1,-1
1989,11,22,-1,-1,-1
1989,11,23,-1,-1,-1
1989,11,24,-1,-1,-1
1989,11,25,-1,-1,-1
1989,11,26,-1,-1,-1
1989,11,27,-1,-1,-1
1989,11,28,-1,-1,-1
1989,11,29,-1,-1,-1
1989,11,30,-1,-1,-1
1989,12,1,-1,-1,-1
1989,12,2,-1,-1,-1
1989,12,3,-1,-1,-1
1989,12,4,-1,-1,-1
1989,12,5,-1,-1,-1
1989,12,6,-1,-1,-1
1989,12,7,-1,-1,-1
1989,12,8,-1,-1,-1
1989,12,9,-1,-1,-1
1989,12,10,-1,-1,-1
1989,12,11,-1,-1,-1
1989,12,12,-1,-1,-1
1989,12,13,-1,-1,-1
1989,12,14,-1,-1,-1
1989,12,15,-1,-1,-1
1989,12,16,-1,-1,-1
1989,12,17,-1,-1,-1
1989,12,18,-1,-1,-1
1989,12,19,-1,-1,-1
1989,12,20,-1,-1,-1
1989,12,21,-1,-1,-1
1989,12,22,-1,-1,-1
1989,12,23,-1,-1,-1
1989,12,24,-1,-1,-1
1989,12,25,-1,-1,-1
1989,12,26,-1,-1,-1
1989,12,27,-1,-1,-1
1989,12,28,-1,-1,-1
1989,12,29,-1,-1,-1
1989,12,30,-1,-1,-1
1989,12,31,-1,-1,-1
1990,1,1,-1,-1,-1
1990,1,2,-1,-1,-1
1990,1,3,-1,-1,-1
1990,1,4,-1,-1,-1
1990,1,5,-1,-1,-1
1990,1,6,-1,-1,-1
1990,1,7,-1,-1,-1
1990,1,8,-1,-1,-1
1990,1,9,-1,-1,-1
1990,1,10,-1,-1,-1
1990,1,11,-1,-1,-1
1990,1,12,-1,-1,-1
1990,1,13,-1,-1,-1
1990,1,14,-1,-1,-1
1990,1,15,-1,-1,-1
1990,1,16,-1,-1,-1
1990,1,17,-1,-1,-1
1990,1,18,-1,-1,-1
1990,1,19,-1,-1,-1
1990,1,20,-1,-1,-1
1990,1,21,-1,-1,-1
1990,1,22,-1,-1,-1
1990,1,23,-1,-1,-1
1990,1,24,-1,-1,-1
1990,1,25,-1,-1,-1
1990,1,26,-1,-1,-1
1990,1,27,-1,-1,-1
1990,1,28,-1,-1,-1
1990,1,29,-1,-1,-1
1990,1,30,-1,-1,-1
1990,1,31,-1,-1,-1
1990,2,1,-1,-1,-1
1990,2,2,-1,-1,-1
1990,2,3,-1,-1,-1
1990,2,4,-1,-1,-1
1990,2,5,-1,-1,-1
1990,2,6,-1,-1,-1
1990,2,7,-1,-1,-1
1990,2,8,-1,-1,-1
1990,2,9,-1,-1,-1
1990,2,10,-1,-1,-1
1990,2,11,-1,-1,-1
1990,2,12,-1,-1,-1
1990,2,13,-1,-1,-1
1990,2,14,-1,-1,-1
1990,2,15,-1,-1,-1
1990,2,16,-1,-1,-1
1990,2,17,-1,-1,-1
1990,2,18,-1,-1,-1
1990,2,19,-1,-1,-1
1990,2,20,-1,-1,-1
1990,2,21,-1,-1,-1
1990,2,22,-1,-1,-1
1990,2,23,-1,-1,-1
1990,2,24,-1,-1,-1
1990,2,25,-1,-1,-1
1990,2,26,-1,-1,-1
1990,2,27,-1,-1,-1
1990,2,28,-1,-1,-1
1990,3,1,-1,-1,-1
1990,3,2,-1,-1,-1
1990,3,3,-1,-1,-1
1990,3,4,-1,-1,-1
1990,3,5,-1,-1,-1
1990,3,6,-1,-1,-1
1990,3,7,-1,-1,-1
1990,3,8,-1,-1,-1
1990,3,9,-1,-1,-1
1990,3,10,-1,-1,-1
1990,3,11,-1,-1,-1
1990,3,12,-1,-1,-1
1990,3,13,-1,-1,-1
1990,3,14,-1,-1,-1
1990,3,15,-1,-1,-1
1990,3,16,-1,-1,-1
1990,3,17,-1,-1,-1
1990,3,18,-1,-1,-1
1990,3,19,-1,-1,-1
1990,3,20,-1,-1,-1
1990,3,21,-1,-1,-1
1990,3,22,-1,-1,-1
